topic,type_label,n_distinct_items,n_rows,users,unit_price_p10,unit_price_p50,unit_price_p90,price_ratio_p90_p10,generic_share,coherent_ok,members
20,餐廳 等15款,15,29,"0,1,2",90.6,550.0,747.8,8.3,0.59,False,餐廳:15 | 7號餐(台大店):1 | 餐食:1 | a套餐:1 | 餐飲_熟食:1 | 清潔費:1 | 餐飲:1 | 歡聚樂享餐:1 | 精選3號餐:1 | 精選派對餐:1 | 小分享餐:1 | 滿意總匯餐:1 | 八曜和風:1 | 雙人套餐:1 | 套餐1:1
21,熟食 等3款,3,28,1,74.0,369.0,495.5,6.7,0.93,False,熟食:26 | 30元盤:1 | 40元盤:1
22,parking fee（單品）,1,28,1,35.0,35.0,35.0,1.0,0.0,True,parking fee:28
23,金萱雙q（單品）,1,28,1,50.0,50.0,50.0,1.0,0.0,True,金萱雙q:28
24,12fit - 特餐_七味蒜香雞胸(b) 等10款,10,28,"0,1",125.0,125.0,194.5,1.6,0.0,True,12fit - 特餐_七味蒜香雞胸(b):18 | 陽光bbq健康餐 - 匈牙利香蒜雞胸(c):2 | 鹽味舒肥雞poke-加購免洗餐盒2元:1 | 島嶼咖哩雞肉燉飯 chicken & vegetables risotto with red curry cream sauce:1 | 香蒜白酒蛤蠣麵 clams spaghetti with white wine & garlic oil:1 | 豬肉拼盤 돼지모둠 pork combo 2人套餐五花肉 삼겹살 pork belly+松阪肉항정살pork jowl+梅花목살boston butt+海鮮大醬鍋(附飯) 된장찌개 soybean paste soup+韓式起司蒸雞蛋 치즈폭탄계란찜 cheese steamed eggs:1 | 12fit - 特餐_柚香檸檬清炒雞(a):1 | 輕輕地中海餐盒 - 匈牙利香蒜雞胸(c):1 | 蘿勒燻雞三明治特餐:1 | 菠蘿牛角(北):1
25,金塊香蒜-小單位 等4款,4,27,"1,2",42.0,42.0,51.6,1.2,0.0,True,金塊香蒜-小單位:24 | 焦糖可可碎片大:1 | 法式岩漿巧克力:1 | 芋泥可麗露:1
26,重乳奶茶tp330 等19款,19,26,"0,1,2",24.0,25.0,39.5,1.6,0.0,True,重乳奶茶tp330:5 | 一配蜂蜜牛奶球:3 | 奶茶(l)(冰):2 | 一配經典蜂蜜蛋糕:1 | 飲冰室茶集綠奶茶:1 | 巧達濃湯:1 | 飲冰室茶集紅奶茶:1 | 奶茶(xl)(冰):1 | 856576可口奶滋鐵觀音口味隨手分享包10:1 | 856574可口奶滋原味隨手分享包100g:1 | 愛之味寒天檸檬:1 | kirin 午後奶茶:1 | 乖乖奶油椰子:1 | 麥香奶茶tp375:1 | 統一麥香奶茶tp375:1 | 大醇豆無加糖豆漿:1 | 麥香阿薩姆奶茶:1 | fmc檸檬氣泡水:1 | oasis馬琳糖輕食 正價品:1
27,四塊麥克雞塊 等12款,12,26,"0,1,2",48.0,60.0,131.5,2.7,0.0,True,四塊麥克雞塊:7 | b10_四重麥香雞:3 | b12_四重麥香雞:3 | 麥香魚:3 | 馬鈴薯沙拉(熟):2 | 藜麥辣脆雞沙拉:2 | 麥香雞:1 | 韓風香蒜雞腿堡:1 | 十塊麥克雞塊:1 | 藜麥烤雞沙拉:1 | 蕈菇嫩蛋焙果堡:1 | 六塊麥克雞塊:1
28,餅乾1片 等3款,3,26,0,25.0,25.0,25.0,1.0,0.0,True,餅乾1片:24 | 各種蔬菜餅:1 | 嫩煎蛋一片:1
29,星-二配板巧克力夾心土司 等10款,10,26,"0,1,2",24.0,32.0,32.0,1.3,0.0,True,星-二配板巧克力夾心土司:15 | 一配菠蘿麵包:2 | 新感覺可可夾心:2 | 蕃薯(30元):1 | 芝麻包:1 | 新感覺草莓夾心:1 | 不沾手番茄芥末醬:1 | 二配板巧克力夾心土司:1 | 二配花生夾心土司:1 | 二配熱狗麵包:1
30,御選肉鬆飯糰 等5款,5,25,"1,2",20.0,28.0,28.0,1.4,0.0,True,御選肉鬆飯糰:18 | 章魚燒串:2 | 原味豬肉貢丸(關):2 | 虱目魚丸:2 | 綜合湯:1
31,卡辣姆久平切洋芋片勁辣唐辛35元 等5款,5,24,"0,1,2",35.0,35.0,35.0,1.0,0.0,True,卡辣姆久平切洋芋片勁辣唐辛35元:19 | 美式原味熱狗:2 | 卡辣姆久厚切洋芋片勁辣唐辛35元:1 | 日式碳烤風味熱狗:1 | 波的多濃厚蚵仔煎洋芋片:1
32,午后時光-重乳奶茶tp330 等7款,7,24,"0,1,2",25.0,25.0,33.2,1.3,0.0,True,午后時光-重乳奶茶tp330:18 | 紅牌速纖纖維飲料tp330:1 | 光泉午后時光重乳奶茶400ml:1 | 黑松fin好菌補給飲pet580:1 | 統一麥香奶茶tp375:1 | 黑松c&c氣泡飲(葡萄)pet500:1 | 午后時光重乳奶茶:1
33,福樂自然零藍莓優酪 等11款,11,24,"0,1,2",19.2,30.0,57.1,3.0,0.0,True,福樂自然零藍莓優酪:7 | 晨光葡萄土司:5 | 自然零藍莓優酪:2 | 金蘋果調味乳蘋果風味:2 | pkl330ml黑松蘋果c:2 | ladears 開心果可麗露:1 | (a)義美葡萄qq巧克力球:1 | 瑞穗鮮乳土司:1 | 蘋果香蕉奶昔 apple banana shake:1 | 野生藍莓優格(m):1 | 每日c100%莓果綜合果汁:1
34,1百 等23款,23,24,"0,1,2",42.2,119.0,288.2,6.8,0.12,False,1百:2 | 活沛多游離型葉黃素30粒:1 | 高露潔纖柔備長炭牙刷3入:1 | 高露潔護齦牙刷:1 | 藥水:1 | 3m細滑牙線棒散裝36支入:1 | 丰荷3d日系醫用成人口罩10入氣質白:1 | 藥妝藥房:1 | unidesign醫用級口罩5入(輕薄白):1 | 藥粧藥房:1 | 高露潔密泡牙刷:1 | r麻-斯斯鼻炎膠囊 10粒:1 | 曼秀雷敦涼舒薄荷精油棒10g:1 | 曼秀雷敦涼舒薄荷滾珠精油棒72ml:1 | 好來花香牙膏:1 | darlie好來專業牙齦護理牙刷:1 | 好來小蘇打牙刷:1 | 2001556:1 | 9000302:1 | r)斯斯咳嗽膠囊:1 | 愛喜維生素c+鈣口嚼錠清新:1 | 活沛多 緩釋型維他命cb群 30錠:1 | 活沛多 gl雙效敏益菌30顆新升級:1
35,ab原味優酪乳206ml(瓶) 等4款,4,23,0,28.0,49.0,73.0,2.6,0.0,True,ab原味優酪乳206ml(瓶):10 | ab原味優酪乳517ml(瓶):9 | ab原味優酪乳902ml(瓶):3 | 泰國皇家牛奶片 25g:1
36,餐飲與食品(f&b) 等5款,5,23,"0,1,2",53.6,278.0,1520.2,28.4,0.87,False,餐飲與食品(f&b):18 | 餐飲-麥當勞:2 | 薯球(肯)(活動):1 | 餐費:1 | 291689麥當勞速食餐:1
37,金黃起司火腿蛋三明治 等17款,17,23,"0,2",30.0,42.0,49.0,1.6,0.0,True,金黃起司火腿蛋三明治:3 | 鮪魚起司溏心蛋三明治:3 | 一配哆啦a夢小蛋糕:2 | 鮪魚洋芋溏心蛋三明治:2 | 生吐司:1 | 新-哆啦a夢小蛋糕:1 | 濃醇豆香波堤250318:1 | 黑松沙士:1 | 統一大雞蛋布丁:1 | 起司四合奏三明治:1 | 雞蛋沙拉三明治:1 | 經典總匯三明治:1 | 瘋狂起司三明治:1 | (區)雙倍起司火腿蛋三明治:1 | 火腿起司蛋三明治:1 | 好多蛋三明治:1 | 香蕉可可三明治:1
38,草莓 等7款,7,23,1,160.0,160.0,160.0,1.0,0.0,True,草莓:8 | 炙燒乳酪蛋糕:6 | 草莓白乳酪:3 | 法式乳酪:3 | 生乳捲:1 | 西西里榛果塔:1 | 西西里開心果慕斯:1
39,桌球場 等3款,3,23,1,100.0,100.0,100.0,1.0,0.0,True,桌球場:20 | 撞球場:2 | 健身房全票60分鐘:1
40,a4黑白列印ibon 等7款,7,21,"0,1,2",3.0,3.0,10.0,3.3,0.0,True,a4黑白列印ibon:14 | 列印服務全錄黑白-a4:2 | a4彩色160g列印web:1 | a4黑白影印:1 | a4彩色160g列印ibon:1 | a4彩色列印:1 | 統一h2o純水600ml:1
41,韓國農心辛香菇杯麵 等8款,8,21,"0,1,2",25.0,40.0,49.0,2.0,0.0,True,韓國農心辛香菇杯麵:8 | 手工高麗菜捲:4 | 蘿蔔糕:3 | 黃金脆薯:2 | (a)科學麵原味:1 | 白飯:1 | 阜杭原味豆漿:1 | 黃金香橙大吉嶺大:1
42,母傳原湯清燉牛肉 等6款,6,21,"0,1",208.0,232.0,252.0,1.2,0.0,True,母傳原湯清燉牛肉:12 | 經典香韻紅燒牛肉:4 | 經典香韻紅燒三寶:2 | 燉煮叉燒肉:1 | 五椒麻辣牛肉:1 | 經典香韻紅燒半筋半肉:1
43,冰紅茶-大(新) 等6款,6,21,"0,1",37.0,40.0,55.0,1.5,0.0,True,冰紅茶-大(新):13 | 玉米濃湯:4 | 烏龍:1 | 冰紅茶-中(新):1 | 中冰摩斯咖啡:1 | 可樂-大(新):1
44,台灣香蕉重量分享包(2入) 等6款,6,20,"0,1,2",30.0,30.0,54.3,1.8,0.0,True,台灣香蕉重量分享包(2入):15 | 富士蘋果(截切-袋):1 | 蘇菲清新涼感薄荷日用23cm9片:1 | 京都念慈菴雙層枇杷軟喉糖(原味):1 | 易口舒無糖薄荷錠-清爽蜜桃:1 | 香蕉單入:1
45,油切蕎麥茶 等9款,9,20,"0,1,2",39.5,65.0,85.0,2.2,0.0,True,油切蕎麥茶:5 | 黃金蕎麥鮮奶:4 | 焦糖粉粿奶茶:4 | 青檸甘蔗蕎麥綠寶:2 | 輕烏龍鮮奶:1 | 金萱奶綠大:1 | 飲料:1 | 大 紅茶拿鐵:1 | 馥莓蕎麥綠寶:1
46,桂格100%燕麥(顆粒微甜)290ml 等5款,5,19,"0,1",28.0,35.0,35.0,1.2,0.0,True,桂格100%燕麥(顆粒微甜)290ml:13 | 313153精緻丹麥系列/個(a):3 | 無蛋白質poke-加購免洗餐盒2元:1 | 桂格顆粒豆漿燕麥:1 | 統一陽光糙米漿400ml(盒):1
47,服務費和其他費用（單品）,1,19,0,12.6,15.0,17.2,1.4,1.0,True,服務費和其他費用:19
48,清爽沙拉飯（單品）,1,19,"0,1,2",110.0,110.0,120.0,1.1,0.0,True,清爽沙拉飯:19
