user_id,group,base_month,cur_month,P0,Q0,P1,Q1,base_spend,cur_spend,delta,price_effect,qty_effect,residual
1,超市餐飲其他 @ 遠東百貨板橋新站,2025-09,2026-01,426.5,2.0,336.0,2.0,853.0,672.0,-181.0,-181.0,0.0,0.0
1,草莓 @ 貓啡因商行,2025-10,2026-01,160.0,2.0,160.0,2.0,320.0,320.0,0.0,0.0,0.0,0.0
2,食品 @ 京站實業,2025-10,2026-04,130.75,4.0,248.0,1.0,523.0,248.0,-275.0,117.25,-392.25,0.0
1,極選厚菠蘿 @ 統一聖娜多堡市站門市部,2025-09,2026-01,39.0,3.0,39.0,2.0,117.0,78.0,-39.0,0.0,-39.0,0.0
1,日香雞肉飯 - 私房辣椒雞腿飯(b) @ 百變全球餐飲,2025-11,2026-05,120.0,1.0,120.0,1.0,120.0,120.0,0.0,0.0,0.0,0.0
1,極致巧克力蛋糕 @ 貓啡因商行,2025-10,2026-01,160.0,5.0,160.0,4.0,800.0,640.0,-160.0,0.0,-160.0,0.0
1,三明治冰淇淋 @ 國立臺灣大學生物資源暨農學院附設農業試驗場,2025-09,2026-05,29.5,2.0,29.0,1.0,59.0,29.0,-30.0,-0.5,-29.5,0.0
1,酥脆雞塊 @ 貓啡因商行,2025-11,2026-03,130.0,2.0,130.0,1.0,260.0,130.0,-130.0,0.0,-130.0,0.0
0,韓國農心辛香菇杯麵 @ 統一超商台北市第七四一,2025-11,2026-05,49.0,1.0,49.0,2.0,49.0,98.0,49.0,0.0,49.0,0.0
0,ab優酪乳原味 @ 全家便利商店台大二活門市部,2025-10,2026-05,28.0,1.0,28.0,6.0,28.0,168.0,140.0,0.0,140.0,0.0
0,台灣香蕉重量分享包(2入) @ 統一超商台北市第七四一,2025-10,2026-05,30.0,2.0,30.0,1.0,60.0,30.0,-30.0,0.0,-30.0,0.0
2,泰山淨之水 @ 全聯實業永和成功,2026-04,2026-05,48.0,6.0,48.0,1.0,288.0,48.0,-240.0,0.0,-240.0,0.0
2,影印費 @ 飛捷廣告印刷公館,2025-10,2025-12,21.2,5.0,141.0,2.0,106.0,282.0,176.0,239.6,-63.6,0.0
1,台灣香蕉重量分享包(2入) @ 統一超商台北市第一0二七,2026-01,2026-05,30.0,2.0,30.0,2.0,60.0,60.0,0.0,0.0,0.0,0.0
0,配-經典大薯 @ 和德昌台北公館,2025-10,2026-05,43.0,1.0,43.0,2.0,43.0,86.0,43.0,0.0,43.0,0.0
0,林聰明-雞肉飯飯糰 @ 統一超商台北市第七四一,2025-10,2026-05,36.0,1.0,36.0,1.0,36.0,36.0,0.0,0.0,0.0,0.0
