user_id,group,month,amt,qty,n,unit_price
0,餅乾3片 @ 傑洛國際台大店,2026-05,60.0,1.0,1,60.0
0,餐-十塊雞 @ 和德昌台北公館,2025-10,109.0,1.0,1,109.0
0,餐-十塊雞 @ 和德昌台北公館,2025-11,218.0,2.0,2,109.0
0,餐-十塊雞 @ 和德昌台北公館,2025-12,109.0,1.0,1,109.0
0,餐-十塊雞 @ 和德昌台北公館,2026-05,109.0,1.0,1,109.0
1,(a)統一h2o純水pet2200 @ 統一超商新北市第一四三五,2025-10,210.0,6.0,3,35.0
1,(a)統一h2o純水pet2200 @ 統一超商新北市第一四三五,2025-11,140.0,4.0,2,35.0
1,(a)統一h2o純水pet2200 @ 統一超商新北市第一四三五,2025-12,280.0,8.0,4,35.0
1,(a)統一h2o純水pet2200 @ 統一超商新北市第一四三五,2026-05,70.0,2.0,1,35.0
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,2025-10,250.0,2.0,2,125.0
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,2025-11,125.0,1.0,1,125.0
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,2026-01,625.0,5.0,5,125.0
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,2026-02,500.0,4.0,4,125.0
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,2026-03,375.0,3.0,3,125.0
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,2026-04,250.0,2.0,2,125.0
1,12fit - 特餐_七味蒜香雞胸(b) @ 百變全球餐飲,2026-05,125.0,1.0,1,125.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2025-09,420.0,7.0,7,60.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2025-11,180.0,3.0,3,60.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2025-12,180.0,3.0,3,60.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2026-01,360.0,6.0,6,60.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2026-02,300.0,5.0,5,60.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2026-03,180.0,3.0,3,60.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2026-04,180.0,3.0,3,60.0
1,16oz(冰)特選美式咖啡 @ 統一聖娜多堡市站門市部,2026-05,120.0,2.0,2,60.0
1,864898丸龜製麵 @ 遠百企業板橋南雅,2025-12,288.0,2.0,2,144.0
1,864898丸龜製麵 @ 遠百企業板橋南雅,2026-03,144.0,1.0,1,144.0
1,864898丸龜製麵 @ 遠百企業板橋南雅,2026-04,174.0,1.0,1,174.0
1,864898丸龜製麵 @ 遠百企業板橋南雅,2026-05,184.0,1.0,1,184.0
1,a 美式黑咖啡-中冰 @ 路易莎職人咖啡新北圖館,2026-03,120.0,2.0,2,60.0
1,a 美式黑咖啡-中冰 @ 路易莎職人咖啡新北圖館,2026-04,60.0,1.0,1,60.0
1,a 美式黑咖啡-中冰 @ 路易莎職人咖啡新北圖館,2026-05,120.0,2.0,2,60.0
1,a4黑白列印ibon @ 統一超商新北市第一四三五,2025-12,63.0,21.0,3,3.0
1,a4黑白列印ibon @ 統一超商新北市第一四三五,2026-05,126.0,42.0,2,3.0
1,d摩斯雞塊套加60 @ 安心食品服務南港展館,2025-12,240.0,4.0,4,60.0
1,d摩斯雞塊套加60 @ 安心食品服務南港展館,2026-01,60.0,1.0,1,60.0
1,d摩斯雞塊套加60 @ 安心食品服務南港展館,2026-02,120.0,2.0,2,60.0
1,d摩斯雞塊套加60 @ 安心食品服務南港展館,2026-03,60.0,1.0,1,60.0
1,d摩斯雞塊套加60 @ 安心食品服務南港展館,2026-04,180.0,3.0,3,60.0
1,d摩斯雞塊套加60 @ 安心食品服務南港展館,2026-05,60.0,1.0,1,60.0
1,parking fee @ 正好停樹林車站停車場,2025-09,630.0,18.0,18,35.0
1,parking fee @ 正好停樹林車站停車場,2025-10,490.0,14.0,14,35.0
1,parking fee @ 正好停樹林車站停車場,2025-11,455.0,13.0,13,35.0
1,parking fee @ 正好停樹林車站停車場,2025-12,315.0,9.0,9,35.0
1,parking fee @ 正好停樹林車站停車場,2026-01,525.0,15.0,15,35.0
1,parking fee @ 正好停樹林車站停車場,2026-02,280.0,8.0,8,35.0
1,parking fee @ 正好停樹林車站停車場,2026-03,350.0,10.0,10,35.0
1,parking fee @ 正好停樹林車站停車場,2026-04,175.0,5.0,5,35.0
1,parking fee @ 正好停樹林車站停車場,2026-05,245.0,7.0,7,35.0
1,pkl330立頓巧克力奶 @ 松深食品,2025-10,13.0,1.0,1,13.0
1,pkl330立頓巧克力奶 @ 松深食品,2025-11,26.0,2.0,2,13.0
1,pkl330立頓巧克力奶 @ 松深食品,2025-12,13.0,1.0,1,13.0
1,pkl330立頓巧克力奶 @ 松深食品,2026-04,13.0,1.0,1,13.0
1,一配經典肉鬆飯糰 @ 全家便利商店台大二活門市部,2025-11,30.0,1.0,1,30.0
1,一配經典肉鬆飯糰 @ 全家便利商店台大二活門市部,2025-12,90.0,3.0,3,30.0
1,一配經典肉鬆飯糰 @ 全家便利商店台大二活門市部,2026-03,30.0,1.0,1,30.0
1,一配經典肉鬆飯糰 @ 全家便利商店台大二活門市部,2026-04,60.0,2.0,2,30.0
1,三明治冰淇淋 @ 國立臺灣大學生物資源暨農學院附設農業試驗場,2025-09,59.0,2.0,2,29.5
1,三明治冰淇淋 @ 國立臺灣大學生物資源暨農學院附設農業試驗場,2025-10,29.0,1.0,1,29.0
1,三明治冰淇淋 @ 國立臺灣大學生物資源暨農學院附設農業試驗場,2025-11,58.0,2.0,2,29.0
1,三明治冰淇淋 @ 國立臺灣大學生物資源暨農學院附設農業試驗場,2025-12,30.0,1.0,1,30.0
1,三明治冰淇淋 @ 國立臺灣大學生物資源暨農學院附設農業試驗場,2026-02,29.0,1.0,1,29.0
1,三明治冰淇淋 @ 國立臺灣大學生物資源暨農學院附設農業試驗場,2026-05,29.0,1.0,1,29.0
1,停車費 @ 歐特儀市民廣場地下停車場,2025-09,90.0,3.0,3,30.0
1,停車費 @ 歐特儀市民廣場地下停車場,2025-10,90.0,3.0,3,30.0
1,停車費 @ 歐特儀市民廣場地下停車場,2025-11,160.0,5.0,5,32.0
1,停車費 @ 歐特儀市民廣場地下停車場,2025-12,120.0,3.0,3,40.0
1,停車費 @ 歐特儀市民廣場地下停車場,2026-01,80.0,2.0,2,40.0
1,停車費 @ 歐特儀市民廣場地下停車場,2026-02,40.0,1.0,1,40.0
1,停車費 @ 歐特儀市民廣場地下停車場,2026-03,135.0,5.0,5,27.0
1,停車費 @ 歐特儀市民廣場地下停車場,2026-04,50.0,2.0,2,25.0
1,停車費 @ 歐特儀市民廣場地下停車場,2026-05,120.0,3.0,3,40.0
1,停車費 @ 遠創智慧,2026-04,90.0,3.0,3,30.0
1,停車費 @ 遠創智慧,2026-05,120.0,4.0,4,30.0
1,冰/熱 美式咖啡(大) @ 統一超商,2025-09,143.0,1.0,1,143.0
1,冰/熱 美式咖啡(大) @ 統一超商,2025-10,140.0,1.0,1,140.0
1,冰/熱 美式咖啡(大) @ 統一超商,2025-12,140.0,1.0,1,140.0
1,冰/熱 美式咖啡(大) @ 統一超商,2026-01,280.0,2.0,2,140.0
1,冰/熱 美式咖啡(大) @ 統一超商,2026-02,140.0,1.0,1,140.0
1,冰紅茶-大(新) @ 安心食品服務南港展館,2025-12,200.0,5.0,4,40.0
1,冰紅茶-大(新) @ 安心食品服務南港展館,2026-02,80.0,2.0,2,40.0
1,冰紅茶-大(新) @ 安心食品服務南港展館,2026-03,80.0,2.0,2,40.0
1,冰紅茶-大(新) @ 安心食品服務南港展館,2026-04,80.0,2.0,2,40.0
1,冰紅茶-大(新) @ 安心食品服務南港展館,2026-05,80.0,2.0,2,40.0
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,2025-09,50.0,2.0,1,25.0
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,2025-10,50.0,2.0,1,25.0
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,2025-11,150.0,6.0,3,25.0
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,2025-12,100.0,4.0,2,25.0
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,2026-02,75.0,3.0,2,25.0
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,2026-03,50.0,2.0,1,25.0
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,2026-04,50.0,2.0,1,25.0
1,午后時光-重乳奶茶tp330 @ 統一超商新北市第一四三五,2026-05,150.0,6.0,3,25.0
1,原味波士頓 @ 貓啡因商行,2025-09,320.0,2.0,2,160.0
1,原味波士頓 @ 貓啡因商行,2025-12,160.0,1.0,1,160.0
1,原味波士頓 @ 貓啡因商行,2026-01,480.0,3.0,3,160.0
1,原味波士頓 @ 貓啡因商行,2026-04,160.0,1.0,1,160.0
1,原味波士頓 @ 貓啡因商行,2026-05,480.0,3.0,2,160.0
1,台灣上等蕉(裸賣) @ 統一超商台北市第一0二七,2026-01,40.0,2.0,2,20.0
1,台灣上等蕉(裸賣) @ 統一超商台北市第一0二七,2026-02,40.0,2.0,2,20.0
1,台灣上等蕉(裸賣) @ 統一超商台北市第一0二七,2026-04,20.0,1.0,1,20.0
1,台灣香蕉重量分享包(2入) @ 統一超商台北市第一0二七,2026-01,60.0,2.0,2,30.0
1,台灣香蕉重量分享包(2入) @ 統一超商台北市第一0二七,2026-02,60.0,2.0,2,30.0
1,台灣香蕉重量分享包(2入) @ 統一超商台北市第一0二七,2026-04,30.0,1.0,1,30.0
1,台灣香蕉重量分享包(2入) @ 統一超商台北市第一0二七,2026-05,60.0,2.0,2,30.0
1,多多綠茶 @ 貓啡因商行,2025-11,360.0,3.0,3,120.0
1,多多綠茶 @ 貓啡因商行,2025-12,360.0,3.0,3,120.0
1,多多綠茶 @ 貓啡因商行,2026-01,480.0,4.0,4,120.0
1,多多綠茶 @ 貓啡因商行,2026-03,120.0,1.0,1,120.0
1,多多綠茶 @ 貓啡因商行,2026-04,360.0,3.0,3,120.0
1,多多綠茶 @ 貓啡因商行,2026-05,360.0,3.0,3,120.0
1,大1四季春珍波椰 @ 星翔飲料店,2025-09,200.0,4.0,4,50.0
1,大1四季春珍波椰 @ 星翔飲料店,2025-10,300.0,6.0,6,50.0
1,大1四季春珍波椰 @ 星翔飲料店,2025-11,200.0,4.0,4,50.0
1,大1四季春珍波椰 @ 星翔飲料店,2025-12,150.0,3.0,3,50.0
1,大1四季春珍波椰 @ 星翔飲料店,2026-01,50.0,1.0,1,50.0
1,大1四季春珍波椰 @ 星翔飲料店,2026-02,150.0,3.0,3,50.0
1,大1四季春珍波椰 @ 星翔飲料店,2026-03,50.0,1.0,1,50.0
1,大1四季春珍波椰 @ 星翔飲料店,2026-04,100.0,2.0,2,50.0
1,大1四季春珍波椰 @ 星翔飲料店,2026-05,100.0,2.0,2,50.0
1,大冰美式 @ 全家便利商店台大二活門市部,2025-09,90.0,2.0,2,45.0
1,大冰美式 @ 全家便利商店台大二活門市部,2025-10,315.0,7.0,7,45.0
1,大冰美式 @ 全家便利商店台大二活門市部,2025-11,360.0,8.0,8,45.0
1,大冰美式 @ 全家便利商店台大二活門市部,2025-12,270.0,6.0,6,45.0
1,大冰美式 @ 全家便利商店台大二活門市部,2026-02,45.0,1.0,1,45.0
1,大冰美式 @ 全家便利商店台大二活門市部,2026-03,315.0,7.0,7,45.0
1,大冰美式 @ 全家便利商店台大二活門市部,2026-04,360.0,8.0,8,45.0
1,大冰美式 @ 全家便利商店台大二活門市部,2026-05,315.0,7.0,7,45.0
1,奶茶 @ 貓啡因商行,2025-09,390.0,3.0,3,130.0
1,奶茶 @ 貓啡因商行,2025-10,520.0,4.0,4,130.0
1,奶茶 @ 貓啡因商行,2025-12,130.0,1.0,1,130.0
1,奶茶 @ 貓啡因商行,2026-01,260.0,2.0,2,130.0
1,奶茶 @ 貓啡因商行,2026-03,130.0,1.0,1,130.0
1,奶茶 @ 貓啡因商行,2026-05,130.0,1.0,1,130.0
1,御選肉鬆飯糰 @ 統一超商台北市第一0二七,2026-01,196.0,7.0,6,28.0
1,御選肉鬆飯糰 @ 統一超商台北市第一0二七,2026-02,168.0,6.0,4,28.0
1,御選肉鬆飯糰 @ 統一超商台北市第一0二七,2026-03,56.0,2.0,2,28.0
1,御選肉鬆飯糰 @ 統一超商台北市第一0二七,2026-04,56.0,2.0,2,28.0
1,御選肉鬆飯糰 @ 統一超商台北市第一0二七,2026-05,84.0,3.0,3,28.0
1,摩斯鱈魚堡 @ 安心食品服務南港展館,2025-12,70.0,1.0,1,70.0
1,摩斯鱈魚堡 @ 安心食品服務南港展館,2026-01,70.0,1.0,1,70.0
1,摩斯鱈魚堡 @ 安心食品服務南港展館,2026-02,70.0,1.0,1,70.0
1,摩斯鱈魚堡 @ 安心食品服務南港展館,2026-03,70.0,1.0,1,70.0
1,摩斯鱈魚堡 @ 安心食品服務南港展館,2026-04,70.0,1.0,1,70.0
1,摩斯鱈魚堡 @ 安心食品服務南港展館,2026-05,70.0,1.0,1,70.0
1,日香雞肉飯 - 私房辣椒雞腿飯(b) @ 百變全球餐飲,2025-11,120.0,1.0,1,120.0
1,日香雞肉飯 - 私房辣椒雞腿飯(b) @ 百變全球餐飲,2025-12,240.0,2.0,2,120.0
1,日香雞肉飯 - 私房辣椒雞腿飯(b) @ 百變全球餐飲,2026-01,120.0,1.0,1,120.0
1,日香雞肉飯 - 私房辣椒雞腿飯(b) @ 百變全球餐飲,2026-02,240.0,2.0,2,120.0
1,日香雞肉飯 - 私房辣椒雞腿飯(b) @ 百變全球餐飲,2026-04,120.0,1.0,1,120.0
1,日香雞肉飯 - 私房辣椒雞腿飯(b) @ 百變全球餐飲,2026-05,120.0,1.0,1,120.0
1,星-二配板巧克力夾心土司 @ 全家便利商店台大二活門市部,2025-09,96.0,3.0,3,32.0
1,星-二配板巧克力夾心土司 @ 全家便利商店台大二活門市部,2025-10,192.0,6.0,6,32.0
1,星-二配板巧克力夾心土司 @ 全家便利商店台大二活門市部,2025-11,160.0,5.0,5,32.0
1,星-二配板巧克力夾心土司 @ 全家便利商店台大二活門市部,2025-12,32.0,1.0,1,32.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2025-09,100.0,1.0,1,100.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2025-11,500.0,5.0,5,100.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2025-12,600.0,6.0,6,100.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2026-01,700.0,7.0,7,100.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2026-02,200.0,2.0,2,100.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2026-03,500.0,5.0,5,100.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2026-04,400.0,4.0,4,100.0
1,桌球場 @ 臺北大眾捷運內湖線南港展覽館站,2026-05,200.0,2.0,2,100.0
1,桌球場 @ 長佳機電工程大安運動中心暨和平籃球館營業所,2025-09,700.0,7.0,7,100.0
1,桌球場 @ 長佳機電工程大安運動中心暨和平籃球館營業所,2025-10,700.0,7.0,7,100.0
1,桌球場 @ 長佳機電工程大安運動中心暨和平籃球館營業所,2025-11,100.0,1.0,1,100.0
1,桌球場 @ 長佳機電工程大安運動中心暨和平籃球館營業所,2026-04,100.0,1.0,1,100.0
