Topic,Count,Name,Representation,Representative_Docs,top_items
46,19,46_148_poke2_400ml_0,"['148', 'poke2', '400ml', '0', '', '', '', '', '', '']","['桂格100%燕麥(顆粒微甜)290ml 統一超商台北市第一0三二', '統一陽光糙米漿400ml(盒) 美德耐台大卓越商場', '桂格100%燕麥(顆粒微甜)290ml 統一超商台北市第148']",桂格100%燕麥(顆粒微甜)290ml | 313153精緻丹麥系列/個(a) | 無蛋白質poke-加購免洗餐盒2元 | 桂格顆粒豆漿燕麥 | 統一陽光糙米漿400ml(盒)
47,19,47____,"['', '', '', '', '', '', '', '', '', '']","['服務費和其他費用 優食台灣', '服務費和其他費用 優食台灣', '服務費和其他費用 優食台灣']",服務費和其他費用
48,19,48____,"['', '', '', '', '', '', '', '', '', '']","['清爽沙拉飯 詠觀國際', '清爽沙拉飯 詠觀國際', '清爽沙拉飯 詠觀國際']",清爽沙拉飯
49,19,49_xl_11_1_a,"['xl', '11', '1', 'a', '', '', '', '', '', '']","['青花椒堡xl全明星餐 富利餐飲台南中華', '烤堡xl全明星餐 富利餐飲台北士林', '卡啦雞腿堡xl全明星餐 富利餐飲台南中華']",1原蛋 | 健康蔬活菜飯(餐盒) | 11(大)爪哇咖哩牛丼 | 卡啦雞腿堡a經典餐 | 卡啦雞腿堡xl全明星餐
50,18,50_1___,"['1', '', '', '', '', '', '', '', '', '']","['配-經典大薯 和德昌台北公館', 'a01_大薯+1多1 和德昌台北指南', '1 地瓜薯條 金樂屋']",配-經典大薯 | 薯條-大 | a01_大薯+1多1 | d小薯 | 配-經典中薯
51,18,51____,"['', '', '', '', '', '', '', '', '', '']","['niseko海鹽焦糖雪糕 全家便利商店台中市第五五二', '質立藍莓冰淇淋 全聯實業永和成功', '31冰淇淋 勤美台中']",起司蛋堡 | cremia 北海道冰淇淋之神生日快樂冰淇淋(口味任選) | 鮮蛋沙拉可頌 | 質立藍莓冰淇淋 | 真松露巧克力奶蓋雪糕
52,18,52____,"['', '', '', '', '', '', '', '', '', '']","['餐飲費 欣食旅 南港營業所', '餐飲費 欣食旅 南港營業所', '299成人 魯山國際餐飲事業台大門市部']",餐飲費 | 餐飲 | 優惠單人套餐 | 299成人
53,18,53_a4_4_3_,"['a4', '4', '3', '', '', '', '', '', '', '']","['加新入袋a4單線簿白 笑笑笑國際台北公館', '珠友a4手提單層網紗袋 笑笑笑國際台北公館', '加新入袋a4單線簿白 笑笑笑國際台北公館']",藝舍黑田桑小卡 | 加新入袋a4單線簿白 | 南寶透明裝飾貼4 size | 四季螺旋蠟燭中藍 | 晴天快樂派對帽3
54,18,54____,"['', '', '', '', '', '', '', '', '', '']","['b夏威夷元氣沙拉50 安心食品服務南港展館', 'd摩斯雞塊套加60 安心食品服務南港展館', 'd摩斯雞塊套加60 安心食品服務南港展館']",d摩斯雞塊套加60 | b夏威夷元氣沙拉50 | 辣味和風雞腿塊 | 和風炸雞-大 | 和風雞腿塊-摩斯辣醬
55,18,55____,"['', '', '', '', '', '', '', '', '', '']","['多喝水鹼性竹炭 全聯實業永和成功', '多喝水鹼性竹炭 全聯實業永和成功', '多喝水鹼性竹炭 全聯實業永和成功']",多喝水鹼性竹炭
56,18,56____,"['', '', '', '', '', '', '', '', '', '']","['多多綠茶 貓啡因商行', '多多綠茶 貓啡因商行', '多多綠茶 貓啡因商行']",多多綠茶 | 大 多多綠
57,18,57_g_a_0_,"['g', 'a', '0', '', '', '', '', '', '', '']","['(a)北海鱈魚香絲(大) 統一超商台北市第七四一', '(a)北海鱈魚香絲(大) 統一超商台北市第七四一', 'g餓遊戲 魚王四口']",摩斯鱈魚堡 | (a)北海鱈魚香絲(大) | 鮪魚肉鬆雙手卷 | g餓遊戲 | 黃金魚蛋
58,18,58_l___,"['l', '', '', '', '', '', '', '', '', '']","['芽香綠金萱(l) 陌生人商行', '柔香青金萱(l) 陌生人商行', '芽香綠金萱(l) 陌生人商行']",芽香綠金萱(l) | 柔香青金萱(l) | 芽香綠金萱 | 阿聰師芋單
59,17,59_0___,"['0', '', '', '', '', '', '', '', '', '']","['美式冰咖啡(大) 統一超商台北市第一0二七', '美式冰咖啡(大) 統一超商台北市第一0二七', '美式冰咖啡(大) 統一超商台北市第一0二七']",美式冰咖啡(大) | 濃萃美式冰咖啡(大)
60,17,60____,"['', '', '', '', '', '', '', '', '', '']","['萬事捷uchida粗字油漆筆300-s/白 笑笑笑國際台北公館', '百樂g2 07鋼珠筆紅 笑笑笑國際台北公館', '三菱sxn155溜溜筆黑 笑笑笑國際台北公館']",百樂g2 07鋼珠筆藍 | 文明mk-3001雙頭水性美工筆銘黃 | 文明mk-3001雙頭水性美工筆紅 | 文明mk-3001雙頭水性美工筆柑 | toeic 證書
