user_id,super,supertype,item,total_qty,base_qty,base_spend,base_unit_price,cur_qty,cur_spend,cur_unit_price
1,4,正餐主食,火腿堡6吋,1,1.0,95.0,95.0,0.0,0.0,
1,4,正餐主食,菠蘿牛角(北),1,1.0,45.0,45.0,0.0,0.0,
1,4,正餐主食,黑胡椒豬里肌,1,1.0,30.0,30.0,0.0,0.0,
1,5,超商零食點心,金塊香蒜-小單位,24,22.0,924.0,42.0,2.0,84.0,42.0
1,5,超商零食點心,超級大麥海洋珍珠堡,10,9.0,765.0,85.0,1.0,85.0,85.0
1,5,超商零食點心,d摩斯雞塊套加60,13,11.0,660.0,60.0,2.0,114.0,57.0
1,5,超商零食點心,星-二配板巧克力夾心土司,15,15.0,480.0,32.0,0.0,0.0,
1,5,超商零食點心,摩斯鱈魚堡,7,5.0,350.0,70.0,2.0,133.0,66.5
1,5,超商零食點心,極選厚菠蘿,8,8.0,312.0,39.0,0.0,0.0,
1,5,超商零食點心,超級大麥杏鮑菇珍珠堡,3,3.0,240.0,80.0,0.0,0.0,
1,5,超商零食點心,鮪魚肉鬆雙手卷,2,2.0,118.0,59.0,0.0,0.0,
1,5,超商零食點心,石安牧場溏心蛋飯糰(圓),3,3.0,117.0,39.0,0.0,0.0,
1,5,超商零食點心,32層菠蘿可頌,2,2.0,100.0,50.0,0.0,0.0,
1,5,超商零食點心,三起司燻腸完熟蕃茄義大利麵,1,1.0,89.0,89.0,0.0,0.0,
1,5,超商零食點心,和風炸雞-大,1,1.0,85.0,85.0,0.0,0.0,
1,5,超商零食點心,海洋珍珠堡,2,1.0,80.0,80.0,1.0,72.0,72.0
1,5,超商零食點心,一配菠蘿麵包,2,2.0,70.0,35.0,0.0,0.0,
1,5,超商零食點心,辣味和風雞腿塊,1,1.0,70.0,70.0,0.0,0.0,
1,5,超商零食點心,和風雞腿塊-摩斯辣醬,1,1.0,70.0,70.0,0.0,0.0,
1,5,超商零食點心,美式原味熱狗,2,2.0,66.0,33.0,0.0,0.0,
1,5,超商零食點心,新感覺可可夾心,2,2.0,60.0,30.0,0.0,0.0,
1,5,超商零食點心,c黃金地瓜薯條套加6,1,1.0,60.0,60.0,0.0,0.0,
1,5,超商零食點心,b夏威夷元氣沙拉50,2,1.0,50.0,50.0,1.0,50.0,50.0
1,5,超商零食點心,鮭魚鮭魚卵(圓),1,1.0,45.0,45.0,0.0,0.0,
1,5,超商零食點心,日式碳烤風味熱狗,1,1.0,38.0,38.0,0.0,0.0,
1,5,超商零食點心,新感覺草莓夾心,1,1.0,30.0,30.0,0.0,0.0,
1,5,超商零食點心,惜時金貓餐罐80g(鮪魚+蝦肉蟹肉),1,1.0,29.0,29.0,0.0,0.0,
1,5,超商零食點心,不沾手番茄芥末醬,1,1.0,5.0,5.0,0.0,0.0,
1,5,超商零食點心,二配板巧克力夾心土司,1,0.0,0.0,,1.0,32.0,32.0
1,6,黑咖啡與輕食,輕食咖啡廳,15,14.0,3148.0,224.9,1.0,235.0,235.0
1,6,黑咖啡與輕食,16oz(冰)特選美式咖啡,32,30.0,1800.0,60.0,2.0,120.0,60.0
1,6,黑咖啡與輕食,美式冰咖啡(大),20,19.0,855.0,45.0,4.0,180.0,45.0
1,6,黑咖啡與輕食,特選美式冰咖啡(大),8,8.0,520.0,65.0,0.0,0.0,
1,6,黑咖啡與輕食,a 美式黑咖啡-中冰,6,4.0,235.0,58.8,2.0,120.0,60.0
1,6,黑咖啡與輕食,四 四季翠玉青茶-大冰,4,4.0,200.0,50.0,0.0,0.0,
1,6,黑咖啡與輕食,路易莎咖啡餐點類,3,3.0,191.0,63.7,0.0,0.0,
1,6,黑咖啡與輕食,美式冰咖啡(特大),1,3.0,180.0,60.0,0.0,0.0,
1,6,黑咖啡與輕食,濃萃美式冰咖啡(大),1,3.0,150.0,50.0,0.0,0.0,
1,6,黑咖啡與輕食,a 美式黑咖啡-大冰,2,2.0,140.0,70.0,0.0,0.0,
1,6,黑咖啡與輕食,麥香三明治-香燻雞肉,3,2.0,135.0,67.5,1.0,70.0,70.0
1,6,黑咖啡與輕食,冰美式咖啡大,1,1.0,115.0,115.0,0.0,0.0,
1,6,黑咖啡與輕食,咖哩盤30cm,1,1.0,99.0,99.0,0.0,0.0,
1,6,黑咖啡與輕食,風味三明治-香燻雞肉,1,1.0,75.0,75.0,0.0,0.0,
1,6,黑咖啡與輕食,超值早餐派對,1,1.0,71.0,71.0,0.0,0.0,
1,6,黑咖啡與輕食,pt 水蜜桃蘋果茶-中冰,1,1.0,65.0,65.0,0.0,0.0,
1,6,黑咖啡與輕食,scr小農雪點鮮奶茶-中熱,1,1.0,60.0,60.0,0.0,0.0,
1,6,黑咖啡與輕食,美式軟餅乾-黑紳士咖啡巧克力(片),2,2.0,60.0,30.0,0.0,0.0,
1,6,黑咖啡與輕食,麥當勞豬肉滿福堡加蛋送冰經典美式咖啡中杯(好禮即享券),1,1.0,58.0,58.0,0.0,0.0,
1,6,黑咖啡與輕食,深黑巧克脆皮泡芙(個),1,1.0,49.0,49.0,0.0,0.0,
1,6,黑咖啡與輕食,美式熱咖啡(大),1,1.0,45.0,45.0,0.0,0.0,
1,6,黑咖啡與輕食,左岸咖啡館奶茶240ml(杯),1,1.0,35.0,35.0,0.0,0.0,
1,6,黑咖啡與輕食,美式軟餅乾-超人氣經典巧克力(片),1,1.0,30.0,30.0,0.0,0.0,
1,7,瓶裝水,(a)統一h2o純水pet2200,11,20.0,700.0,35.0,2.0,70.0,35.0
1,7,瓶裝水,fmc鹼性離子水800ml,2,2.0,58.0,29.0,0.0,0.0,
1,7,瓶裝水,統一h2o純水pet1500,1,1.0,30.0,30.0,0.0,0.0,
1,7,瓶裝水,泰山純水,1,1.0,20.0,20.0,0.0,0.0,
1,7,瓶裝水,泰山純水pet700,1,1.0,20.0,20.0,0.0,0.0,
1,7,瓶裝水,(a)統一uni water純水pet550,1,1.0,20.0,20.0,0.0,0.0,
1,7,瓶裝水,統一ph9鹼性離子水,4,0.0,0.0,,4.0,112.0,28.0
1,8,瓶裝茶飲,午后時光-重乳奶茶tp330,18,30.0,750.0,25.0,6.0,150.0,25.0
1,8,瓶裝茶飲,冰紅茶-大(新),13,11.0,440.0,40.0,3.0,117.0,39.0
1,8,瓶裝茶飲,牧香穀物鮮奶茶(l),5,5.0,350.0,70.0,0.0,0.0,
1,8,瓶裝茶飲,芽香綠金萱(l),9,9.0,315.0,35.0,0.0,0.0,
